Tamanho, naoOpt, opt
10, 706.7536, 846.8036
32, 414.8345, 434.8328
50, 311.2979, 258.9901
64, 207.9954, 268.2551
100, 119.6612, 150.7205
128, 548.9221, 203.9062
200, 723.6794, 878.7046
250, 932.6269, 1499.1284
256, 773.9354, 1375.7495
300, 871.6347, 1483.8556
400, 1375.7367, 1530.8069
512, 1270.3877, 1623.7266
600, 1320.2458, 1764.2665
1000, 2164.4740, 2504.7561
1024, 2131.5757, 2547.5037
2000, 2384.3617, 2779.6351
2048, 2405.7527, 2847.5337
3000, 2427.7466, 2903.7446
4096, 2309.4031, 2327.1866
